Nombre,Tiempo,Fecha
Parte de Mí,175065,2021-09-30
Darling,165111,2021-10-28
Sabe,177655,2021-10-26
Si Vos Me Lo Pedís,201816,2021-10-28
Pensamos,173514,2021-10-20
Verte,157418,2020-12-10
LL (Interludio),90110,2021-10-28
Colocao,179966,2020-05-13
Toa la Vida,218969,2021-08-31
Perdido,226175,2021-10-28
Dangerous,159967,2021-10-28
Baby,164300,2021-10-07
Me Has Dejado,242285,2021-07-06
Mala Vida,160423,2020-09-09
Tengo To,182470,2021-10-28
Dame,237548,2021-10-28
Nicki Nicole: Bzrp Music Sessions. Vol. 13,143291,2019-08-14
Wapo Traketero,181000,2019-04-26
No Toque Mi Naik,143925,2021-03-24
Me Gusta,188200,2019-11-08
Plegarias,198850,2019-11-08
Años Luz,193246,2019-08-23
Plegarias - Acústico Premios Gardel 2020,179393,2020-10-12
Fucking Diablo,144522,2019-10-09
Ella No Es Tuya - Remix,218106,2021-02-03
Mamichula - con Nicki Nicole,219201,2020-07-23
Tras Vos,170500,2019-11-08
Wapo Traketero - El Paredon Live Session,181870,2019-10-22
Recuerdos,170800,2019-11-08
Cómo Dímelo,200000,2019-11-08
Tu Fanático - Remix,214535,2021-04-29
Venganza,202376,2021-03-05
YaMeFui,182594,2021-07-28
Nos Encontramos,157500,2019-11-08
Diva,200200,2019-11-08
Shorty,205800,2019-11-08
7 Lunas,207050,2019-11-08
