indice_tiempo,demanda_total,temperatura_promedio,potencia_maxima
2001-01-01,6866.26,25.432,13501.0
2001-02-01,6473.1,25.596,14061.0
2001-03-01,6952.3,22.852,13780.0
2001-04-01,6183.35,18.317,12866.0
2001-05-01,6668.94,14.306,12968.0
2001-06-01,6559.16,12.94,13639.0
2001-07-01,6806.8,11.542,13794.0
2001-08-01,6531.18,15.055,13030.0
2001-09-01,6211.66,14.69,12642.0
2001-10-01,6268.03,18.074,12365.0
2001-11-01,6132.66,20.007,12595.0
2001-12-01,6448.414000000001,23.013,12626.0
2002-01-01,6471.69,24.903,12296.0
2002-02-01,5745.32,23.252,13481.0
2002-03-01,6462.13,22.18,13481.0
2002-04-01,5970.25,17.463,12209.0
2002-05-01,6320.57,16.432,12444.0
2002-06-01,6634.9,10.7,13428.0
2002-07-01,6891.22,11.469,13405.0
2002-08-01,6514.58,14.242,12908.0
2002-09-01,6136.42,14.787,12392.0
2002-10-01,6344.78,19.9,12394.0
2002-11-01,6384.03,21.39,12828.0
2002-12-01,6597.0,22.758,12939.0
2020-01-01,11993.867056999998,25.1,24891.0
2020-02-01,10843.474430000004,25.5,25791.0
2020-03-01,11144.232191999998,24.4,23847.0
2020-04-01,8537.200407,18.0,16405.0
2020-05-01,9617.328172,15.7,19000.0
2020-06-01,10781.714872999999,13.0,22114.0
2020-07-01,12183.852641000003,10.9,23559.0
2020-08-01,10728.379158000002,13.1,22430.0
2020-09-01,10045.02285,14.6,22683.0
2020-10-01,10013.844018000003,17.2,19659.0
2020-11-01,10087.844438999999,21.9,22289.0
2020-12-01,11329.680796999999,23.5,24079.0
2021-01-01,11937.781368999997,25.5,26450.0
2021-02-01,10087.196042,23.6,22431.0
2021-03-01,11050.707041,22.2,22447.0
2021-04-01,9816.234196000003,20.7,19676.0
2021-05-01,10985.328652999997,14.3,20557.0
2021-06-01,12050.658111000002,11.9,25913.0
